Matt Rush,D/WB R,21,141,1.0,180,,,Matt Rush,0.80,21.4,124,,,124,,,,,,,,,,133,,133,,,,,,140,,,141,141,141,,,2028-11-28,141,
Cheb Alloula,D/M/AM LR,22,159,0.4,168,,,Cheb Alloula,0.30,22,153,,,153,,153,,,155,,,,156,155,,155,,157,157,157,158,,159,,,,159,159,,2028-12-02,159,159
"James ""Youngster"" Yalley","DM, MC",22,153,0.4,181,,,"James ""Youngster"" Yalley",0.50,22,142,,,142,143,143,,,145,,,,146,148,,148,,149,149,150,151,,152,,,,153,153,,2028-12-02,153,153
Jimmy McNeill,MC,24,149,0.4,164,,,Jimmy McNeill,0.50,22,,,138,138,139,139,,,141,,,,,,,144,,146,146,,,146,147,,,149,149,149,,2028-12-02,149,149
MAX BEST,OMNI,27,,,200,,,MAX BEST,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calabash ""Bark"" Barkley",MR,21,130,1.0,130,,,"Calabash ""Bark"" Barkley",0.10,21.4,127,,,127,127,127,,,128,,,,,130,,130,,,,,,130,,,,,130,,,2028-11-28,130,
Leo Los,AM RC,22,151,0.4,161,,,Leo Los,0.40,22,142,,,142,,142,,,,,,,144,,,146,,147,148,149,150,150,,,,,,151,,2028-12-02,151,151
Pascal Bochum,F RLC,22,138,5.4,138,,,Pascal Bochum,0.00,17,135,,,138,138,,,,,,,,,138,,138,,,138,138,138,,,,,,,,,2028-10-28,138,
"William ""Wibrob"" B. Roberts",F RLC,20,152,0.4,185,,,"William ""Wibrob"" B. Roberts",0.50,22,142,,,142,142,143,,,144,,,144,144,145,,145,,148,,149,150,150,151,,,,152,152,,2028-12-02,152,152
"Gabriel ""Gabbygol""",S,23,150,0.4,161,,,"Gabriel ""Gabbygol""",0.50,22,138,,,138,140,140,,,142,,,,143,,,142,,144,145,,146,147,147,,,150,,150,,2028-12-02,150,150
Jari Köngäs,"AMC, S",26,117,9.7,190,,,Jari Köngäs,0.00,12.7,,,,117,,,,,,,,,,,,,117,,,,,,,,,,,,,2028-09-28,117,
Ruud Berkenbosch,S,21,136,12.3,188,"27m, Go Ahead Eag",,Ruud Berkenbosch,0.00,10.1,,,,136,,,136,,,,138,,,,,138,,,,,,,,,,,,,,2028-09-10,136,
,,,,,,,,,,,,,,,,,,,139.45,,,,,,,,,,148.55,,,,,,,147.82,149.70,152.91,,,,
"Darren ""Dazza"" Smith",S,22,#REF!,#REF!,138,sold gone,,"Darren ""Dazza"" Smith",#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,
,,,,,,,,,,,,,,,,,,,139.5,,,,147.5,147.6,,,,,,,,,,,,,,,,,,
,,,,,,,,"""Team Average"" references from chapters:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.36
Chester FC Men's Team Loans 2028-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilfred ""Banksy"" Banks",GK,19,97,29.1,155,Newport Cty,,"Wilfred ""Banksy"" Banks",3.30,29.1,93,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,2028-05-15,97,
Adam Summerhays,DL,19,106,29.1,137,Tranmere,,Adam Summerhays,3.60,29.1,102,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,2028-05-15,106,
Thomazella / Tomzilla,DC,21,114,29.1,178,College,,Thomazella,3.90,29.1,107,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,2028-05-15,114,
Sunday Sowunmi,DC,20,#REF!,82.7,111,Crewe,sold,Sunday Sowunmi,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-06,#REF!,
Nasa,DR,22,121,29.1,150,College,,Nasa,4.20,29.1,114,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,2028-05-15,121,
Tony Herbert,DC,22,132,0.0,150,Saltney,,Tony Herbert,0.00,0,116,,,,,,,,,,,,,,,124,,,,,,,,,,,,,132,2028-12-05,132,
Alfie Clitheroe,MC,19,94,12.3,133,Tranmere,,Alfie Clitheroe,7.60,12.3,90,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,2028-09-10,94,
Dan Badford,MC,19,135,0.0,-1,Saltney,,Dan Badford,0.00,0,121,,,,,,,,,,127,,,,,128,,,,,,,,,,,,,135,2028-12-05,135,
Vincent 'Vini' Addo,DM RC,19,120,12.3,169,Charlton,,Vincent 'Vini' Addo,9.80,12.3,115,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,2028-09-10,120,
Lucas Cook,S,20,104,12.3,142,Kilmarnock,,Lucas Cook,8.50,12.3,99,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,2028-09-10,104,
Colin Beckton,S,35,142,0.0,187,Saltney,,Colin Beckton,0.30,22.4,136,,,136,,,,139,,140,,,,,,,,,,,,,,,,,,,142,2028-12-05,142,
Aston Davidson,GK,19,54,12.3,113,Flint / Connah's,,Aston Davidson,1.20,12.3,,,,39,,,,,,,,,,,,54,,,,,,,,,,,,,,2028-09-10,54,
Archer Phillips,DC,19,54,12.3,76,Flint / Connah's,,Archer Phillips,1.10,12.3,,,,40,,,,,,,,,,,,54,,,,,,,,,,,,,,2028-09-10,54,
Lennox Francis,DRC,19,55,12.3,130,Flint / Connah's,,Lennox Francis,1.20,12.3,,,,40,,,,,,,,,,,,55,,,,,,,,,,,,,,2028-09-10,55,
Tommy Thompson,AM RC,19,56,12.3,123,Flint / Connah's,,Tommy Thompson,1.10,12.3,,,,43,,,,,,,,,,,,56,,,,,,,,,,,,,,2028-09-10,56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chester FC U18 ""Youth Cup"" Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamish Andrews,MC,18,62,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sam,GK,15,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Murray,LB,16,42,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Burton,CB,16,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future,DM C,16,43,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco Andrews,DM,15,,,117,,bold ages are known; others are likely wrong ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Ross,MC,18,40,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Wood,MC,16,40,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Duckham,M LRC,16,50,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Roberts,AMC,16,54,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monty Holmes,AM RC,16,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Walker,DCR,17,,,155,1m from Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Evans,M/AM L,17,35,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Williams,CB,18,45,,131,maybe?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Cullen,BBM,17,65,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errol Obikwu,S,17,50,,166,4m from Sheffield Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Burton,S,17,39,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Men's Extended Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,Weeks Since,PA,,,,Now at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Cooke,CB,9,1,,117,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Holland,DM,9,1,,129,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Watson,DM,14,1,,146,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul ""Speedy"" Wright",F LRC,10,1,,133,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadpole,GK,14,1,,130,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwilym Roberts,MC,15,2,,152,Welsh kid,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Knapper,MC,13,1,,-2,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Known Saltney Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludo Peeters,M/AM C,18,99,,196,3.9m,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engelbert Kornek,S,18,95,,180,1.7m,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toquino ""Tockers"" ",FLC?,20,104,,154, ,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Hussain,D LC,20,10,,74,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Bradley,AM F L,33,55,,90,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Naysmith,MC,22,90,,103,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Westwood,S,22,90,,92,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Schnakenberg,GK,24,128,,128,500k from Bayern,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Carlile,DCR,29,77,,77,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Dunston,DCR,33,122,,,400k from Wrexham,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobi Ellis,GK,33,50,,59,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davey Barnes,MLC,28,121,,121,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Williams,GK,17,24,,136,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Jones,D RC,16,,,141,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greyson Hughes,D RC,16,,,138,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Williams,CB,18,45,,131,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Cullen,BBM,17,65,,170,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Brown,M/AM R,16,,,-1,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie ""Hammer"" Clarke",S,14,,,150+,Double,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riley ""Spike"" Richardson",S,14,,,150+,Dragons,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbd,GK,14,,,150+,all,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbd,CB,14,,,150+,from,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbd,M L,14,,,150+,"""Imagine Dragons""",,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Jones,DM,15,,,147,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Evans,M/AM L,17,35,,131,joining Chester U18s,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian left back,,,~135,,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian forward,,,~135,,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikos Iliades,,,140,,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrexham right back,,,~135,,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrexham right mid,,,~135,,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikko Jaskari,AM LR,,31,,160,Finland; transfer next season,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Men's Old Friends and Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,,PA,,,,Now at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Ryder,DC,33,54,,54,,,,Bruno's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Alton,DCR,28,53,,53,,,,Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Wise,MC,31,56,,60,,,,Eastleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Cavanaugh,GK,28,67,,67,,,,Morecambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wes ""Sharky"" Hayward",AMLR,28,86,,87,,,,Crawley Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foquita ""Little Seal""",S,21,159,,190,,,,Benfica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Contreas,CM,26,100,,100,,,,Crawley Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Owens,"D,WB,M L",20,92,,119,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Brotherhood,RB,19,48,,95,,,,Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Dugdale,AMLC,26,108,,143,,,,Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek,DC,18,56,,66,,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziggy,S,28?,58,,58,,,,FC United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Harrison,FRLC,19,51,,51,,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Harrison,MCR,20,61,,61,"""similar to vivek""",,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Mitchell,S,19,29,,80,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kambili 'Kam Kam' Offiah,AM LR,18,,,120," ""speed machine""",,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Triallist,,,,,~90,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Triallist,,,,,~90,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Triallist,,,,,~90,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Triallist,,,,,~90,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Triallist,,,,,~90,exit trials,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chas Fungrieve,S,18,83,,83,100k transfer,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diarmuid ""Aff"" Dubhlainn",ML,30,72,,72,,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny,S,18,40,,40,,,,Warrington?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson,FRC,18,51,,58,,,,Warrington?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Friend,DL,18,46,,62,,,,Warrington?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Webb,CB,22,80,,80,,,,Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitzroy Hall,CB,26,118,,118,0.5m,,,Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren 'Dazza' Smith,S,22,130,,138,4.7m,,,Middlesbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday Sowumni,CB,20,82,,111,0.1m,,,Crewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Baxter,MC (BBM),19,101,,160,,,,Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breno,,14,,,146+/-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Hickman,CB,23,~90,,120,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardel,MC,17,,,179,,,,Connah's Quay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Windmill,CB,36,81,,,,,,Saltney?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Owen ""Rainman"" Travis",GK,20,95,,99,100k,,,Magpies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djalminha,AM L,18,,,166,,,,Connah's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Topps,MC,31,60,,60,,,,Connah's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine,S,19,29,,29,,,,exit football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Mason,CB,21,77,,85,,,,Connah's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Burke,RB,21,77,,77,,,,Connah's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Two Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Current,,PA,,,,Now At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henri Lyons,S,31,92,,92,,,,Newport Cty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Hudson,DCR,30,91,,91,,,,Newport Cty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Jansen,MCR,30,,,95+,,,,Newport Cty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylyn Cook,DCL,33,,,95+,,,,Newport Cty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipper,S,,,,,,,,Newport Cty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
