Fe,,,,,,CURRENT DATE,2028-10-01,,,,SS 1.16,SS 2.17,SS 3.15,SS 4.11,SS 4.13,SS 4.16,SS 5.7,SS 5.11,SS 5.19,SS 6.4,SS 6.7,SS 6.18,SS 7.3,SS 7.9,SS 7.11,,
,M/AM L,10,,,113,,,U12s,,,,,,,,,,,,,,,,,,,
Angel,S,21,101,0,155,,,Home,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Women's Old Friends and Players,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,,PA,,,Now at,,,,,,,,,,,,,,,,,,,
Scottie Love,GK,26,63,,63,,,,,,,,,,,,,,,,,,,,,,
Ridley T,LB,21,78,,85,,,,,,,,,,,,,,,,,,,,,,
Maddy Hines,M RC,20,76,,80,,,,,,,,,,,,,,,,,,,,,,
Diane,DM,25,56,,60,,,Liverpool Feds,,,,,,,,,,,,,,,,,,,
Pippa Hoole,MC,35,43,,111,,,retired,,,,,,,,,,,,,,,,,,,
