Chester FC Men's Team,,,,,,CURRENT DATE,2027-04-10,,,,,Ch 13.16,START,Ch 14.2,Ch 14.3,Ch 14.4,Ch 14.5,Ch 14.5,Ch 14.6,Ch 14.7,Ch 14.7,Ch 14.8,Ch 14.10,Ch 14.10,Ch 14.12,Ch 14.12,Ch 14.12,Ch 14.13,Ch 14.13,Ch 14.14,Ch 14.14,Ch 14.15,Ch 14.15,Ch 14.15,Ch 14.16,Ch 14.16,End Bk 14,Ch SS1.2,Ch SS1.3,Ch SS1.3,Ch SS1.5,Ch SS1.5,End Bk 1,Ch SS2.1,Ch SS2.2,,Ch SS2.8,Ch SS2.9,Ch SS2.10,Ch SS2.10,Ch SS2.12,Ch SS2.13,Ch SS2.13,Ch SS2.17,,
Archer Phillips,CB,17,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future,DM C,15,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox Francis,DRC,17,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roddy Jones,RB,16,,68,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco Andrews,DM,15,,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Ross,MC,16,,1,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Wood,MC,15,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamish Andrews,MC,17,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Duckham,M LRC,16,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Roberts,AMC,15,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333333,,,,,,,,,,,,,,,,,,,,,,,,
Monty Holmes,AM RC,16,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Thompson,AM RC,17,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace Wells,AM FL,17,,,145,"  really fast, Wes 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine,S,17,,,,"  local lad, backup for Benny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Burton,S,16,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaz Fungrieve,S,17,,65,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Men's Extended Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,Weeks Since,PA,,,,Latest CA,Now at,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Cooke,CB,9,1,,117,,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Holland,DM,9,1,,129,,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Watson,DM,13,1,,146,,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul ""Speedy"" Wright",F LRC,10,1,,133,,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadpole10,GK,13,1,,130,,,,,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Known Saltney Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny,S,18,40,,40,,,,40,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson,FRC,18,51,,58,,,,51,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Friend,DL,18,46,,62,,,,46,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Harrison,FRLC,19,33,,51,,,,33,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toquino ""Tockers""",FLC?,19,62,,154,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Addo,"DM, DRC",19,75,,169,,,,44,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Hussain,D LC,18,1,,74,,,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Harrison,MCR,20,35,,?,"""similar to vivek""",,,,Saltney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Owen ""Rainman"" Travis",,,,,99,Chester loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Westwood,,,,,92,Chester loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Clitheroe,,,,,133,Chester loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Bradley,AM F L,,55,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Men's Old Friends and Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,,PA,,,,Last Seen CA,Now at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Ryder,DC,32,54,,54,,,,54,College 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Alton,DCR,27,53,,53,,,,53,Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Carlile,DCR,27,72,,77,,,,77,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diarmuid ""Aff"" Dubhlainn",ML,29,72,,72,,,,72,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Topps,MC,30,57,,60,,,,60,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Wise,MC,30,56,,60,,,,56,Eastleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek,DC,18,,,66,,,,,West Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Cavanaugh,GK,27,67,,67,,,,67,Morecambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wes ""Sharky"" Hayward",AMLR,27,86,,87,,,,86,Crawley Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foquita ""Little Seal""",S,20,113,,190,,,,113,Benfica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Contreas,CM,26,100,,100,,,,100,Crawley Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Owens,"D,WB,M L",20,92,,119,,,,92,Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Bochum,FRLC,21,109,,133,,,,109,Bochum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Brotherhood,RB,17,48,,95,,,,48,Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Dugdale,AMLC,25,108,,143,,,,108,Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Herbert,DC,21,111,,150,,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Cook,S,19,75,,142,,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Two Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Current,,PA,,,,Latest CA,Now At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henri Lyons,S,30,92,,92,,,,92,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Hudson,DCR,29,91,,91,,,,91,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Jansen,MC?,29,,,,,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylyn Cook,DC?,32,,,,,,,,Tranmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Contreras,MC,26,100,16,100,,,Lee Contreras,0.20,40.4,,92,92,,,,,,95,96,,97,,,98,98,100,,,,100,100,,100,100,100,100,100,,,,100,100,,,,,,,,,,,,2026-12-19,100
"Pascal ""Spaceman"" Bochum",FRLC,21,109,16,133,,,"Pascal ""Spaceman"" Bochum",0.40,40.4,,92,92,92,,93,95,96,97,,,,,100,,100,,,102,,,103,,,104,104,104,105,,,106,,109,,,,,,,,,,,,2026-12-19,109
Jamie Brotherhood,RB,17,48,,95,,,,40,Chester U18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh ""Throw-Ins"" Owens","D,WB,M L",20,92,16,119,,,"Josh ""Throw-Ins"" Owens",0.45,40.4,,74,74,,,,,,78,,,81,,,,,,84,84,,84,85,85,85,86,,86,,,89,,,92,,,,,,,,,,,,2026-12-19,92
"Charlie ""Duggers"" Dugdale",AMLC,25,108,16.0,143,,,"Charlie ""Duggers"" Dugdale",0.30,40.4,,94,94,,,,,,97,98,,100,,100,,101,,,102,,102,103,,103,104,104,104,105,,,106,,108,,,,,,,,,,,,2026-12-19,108
Matt Rush,D/WB R,20,110,16.0,180,,,Matt Rush,0.40,40.4,,95,95,,,95,,,97,98,,99,,99,,100,,,100,,,102,102,102,103,103,103,104,,,105,,109,110,,,,,,,,,,,2026-12-19,110
